epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.561,0.8532,4.65526,0.01218,0.57927,0.39579,0.38125,0.2798,1.1056,2.7903,0.02061,0.000464992,0.000464992,0.000464992
2,288.289,0.8608,1.47292,0.01284,0.57767,0.5406,0.53421,0.39529,1.27737,1.49103,0.02504,0.000918028,0.000918028,0.000918028
3,434.651,0.86677,0.96356,0.01318,0.66326,0.69328,0.64201,0.47713,1.15113,1.01275,0.02187,0.00134748,0.00134748,0.00134748
4,549.361,0.89398,0.85924,0.01353,0.75155,0.71193,0.69915,0.55569,0.97256,0.87785,0.0164,0.0013229,0.0013229,0.0013229
5,671.023,0.91265,0.78578,0.01346,0.75641,0.69891,0.69696,0.53454,1.03261,0.89729,0.01786,0.00128753,0.00128753,0.00128753
6,769.576,0.82018,0.71549,0.01141,0.76492,0.70664,0.67979,0.53952,0.9918,0.79724,0.01664,0.00125216,0.00125216,0.00125216
7,874.168,0.81218,0.67077,0.01176,0.76976,0.72173,0.69434,0.57897,0.87215,0.71858,0.01296,0.00121679,0.00121679,0.00121679
8,993.822,0.75677,0.65061,0.01009,0.74469,0.71167,0.69521,0.56818,0.90411,0.81891,0.0134,0.00118143,0.00118143,0.00118143
9,1106.89,0.76771,0.62258,0.01049,0.7501,0.69049,0.6827,0.55491,0.91912,0.7331,0.01403,0.00114606,0.00114606,0.00114606
10,1220.3,0.75027,0.60725,0.00965,0.79365,0.74152,0.70668,0.57999,0.85889,0.71261,0.01053,0.00111069,0.00111069,0.00111069
11,1320.87,0.76392,0.59943,0.0102,0.82253,0.72836,0.72342,0.60293,0.80515,0.6958,0.01021,0.00107532,0.00107532,0.00107532
12,1443.79,0.74472,0.59804,0.0102,0.81236,0.74116,0.73642,0.61853,0.78668,0.6439,0.01011,0.00103995,0.00103995,0.00103995
13,1554.27,0.72178,0.56924,0.00926,0.80245,0.72427,0.72433,0.58899,0.86154,0.65915,0.01194,0.00100459,0.00100459,0.00100459
14,1676.37,0.66072,0.53566,0.00803,0.80435,0.73858,0.74609,0.6115,0.84806,0.64555,0.01065,0.000969219,0.000969219,0.000969219
15,1787.55,0.66931,0.53337,0.00857,0.80737,0.70898,0.73465,0.61981,0.84538,0.72503,0.01249,0.000933851,0.000933851,0.000933851
16,1892.71,0.65858,0.54068,0.00777,0.78593,0.74673,0.73568,0.6248,0.78845,0.67582,0.00905,0.000898484,0.000898484,0.000898484
17,2014.76,0.63461,0.49327,0.00747,0.81948,0.75804,0.74919,0.6324,0.76901,0.61312,0.01012,0.000863116,0.000863116,0.000863116
18,2127.71,0.61332,0.46526,0.00726,0.79337,0.73824,0.74362,0.62853,0.73347,0.64166,0.00782,0.000827748,0.000827748,0.000827748
19,2240.3,0.61763,0.47251,0.00744,0.86052,0.71634,0.74651,0.64085,0.74507,0.58146,0.00863,0.00079238,0.00079238,0.00079238
20,2347.31,0.61708,0.46261,0.00752,0.82576,0.72516,0.73441,0.63038,0.73903,0.61434,0.00787,0.000757013,0.000757013,0.000757013
21,2455.23,0.60255,0.45265,0.00709,0.83591,0.71804,0.73145,0.62832,0.73241,0.64082,0.00792,0.000721645,0.000721645,0.000721645
22,2567.19,0.58273,0.4544,0.00699,0.79917,0.75893,0.74649,0.62833,0.7734,0.66263,0.00964,0.000686277,0.000686277,0.000686277
23,2685.09,0.56576,0.43577,0.00667,0.86012,0.72498,0.75252,0.655,0.68626,0.58726,0.00755,0.000650909,0.000650909,0.000650909
24,2785.77,0.5617,0.43136,0.00642,0.83208,0.7378,0.74301,0.6509,0.68715,0.62845,0.00756,0.000615542,0.000615542,0.000615542
25,2904.42,0.52726,0.40067,0.00584,0.80677,0.73784,0.74559,0.64333,0.6955,0.6424,0.00762,0.000580174,0.000580174,0.000580174
26,3033.1,0.53756,0.39794,0.00609,0.85006,0.73469,0.74846,0.64304,0.72597,0.61773,0.00797,0.000544806,0.000544806,0.000544806
27,3155.83,0.53329,0.40924,0.00568,0.84717,0.73724,0.74912,0.64113,0.71774,0.67036,0.00782,0.000509438,0.000509438,0.000509438
28,3261.76,0.52102,0.41193,0.00553,0.83409,0.74341,0.74534,0.64974,0.68581,0.62918,0.00756,0.000474071,0.000474071,0.000474071
29,3394.42,0.52693,0.3972,0.00566,0.84365,0.73109,0.75624,0.64843,0.72313,0.63445,0.00823,0.000438703,0.000438703,0.000438703
30,3495.45,0.50404,0.36464,0.00571,0.86241,0.73787,0.75071,0.64937,0.71048,0.6438,0.00807,0.000403335,0.000403335,0.000403335
31,3631.01,0.54936,0.40153,0.00745,0.84243,0.72581,0.74704,0.66027,0.68054,0.6515,0.00766,0.000367967,0.000367967,0.000367967
32,3758.93,0.52905,0.37211,0.007,0.84245,0.75857,0.75179,0.65229,0.70029,0.6125,0.00719,0.0003326,0.0003326,0.0003326
33,3865.1,0.49819,0.36137,0.00576,0.84562,0.74324,0.74763,0.65001,0.68655,0.60673,0.007,0.000297232,0.000297232,0.000297232
34,3976.7,0.50528,0.35378,0.00607,0.85778,0.72071,0.73542,0.64878,0.66665,0.63371,0.00687,0.000261864,0.000261864,0.000261864
35,4096.72,0.48411,0.34757,0.00554,0.85024,0.74333,0.75088,0.66105,0.64206,0.5839,0.00621,0.000226497,0.000226497,0.000226497
36,4215.41,0.49136,0.3321,0.00559,0.85562,0.72807,0.74972,0.66215,0.63734,0.59301,0.00608,0.000191129,0.000191129,0.000191129
37,4332.12,0.46569,0.32529,0.005,0.8924,0.71336,0.75136,0.6635,0.61968,0.61291,0.00559,0.000155761,0.000155761,0.000155761
38,4458.49,0.45581,0.32346,0.00469,0.88551,0.7159,0.74378,0.65668,0.6244,0.64923,0.00549,0.000120393,0.000120393,0.000120393
39,4574.56,0.45437,0.3001,0.00471,0.87453,0.72657,0.74904,0.66256,0.6376,0.61328,0.0059,8.50255e-05,8.50255e-05,8.50255e-05
40,4686,0.44059,0.3044,0.00473,0.86145,0.73229,0.7494,0.66315,0.62992,0.62075,0.00576,4.96578e-05,4.96578e-05,4.96578e-05
